año,presidente,tema,pct_presidencial,pct_ciudadana,brecha
1997,frei,Migración,0.86,0.0,0.86
1997,frei,Pensiones,3.38,0.0,3.38
1997,frei,Pobreza,7.26,17.35,-10.09
1997,frei,Salud,12.6,11.63,0.97
1997,frei,Seguridad,5.32,20.57,-15.25
1997,frei,Trabajo/Empleo,8.36,20.2,-11.84
1997,frei,Vivienda,4.95,6.19,-1.24
1998,frei,Constitución,3.79,0.97,2.82
1998,frei,Corrupción,1.17,4.8,-3.63
1998,frei,Derechos humanos,0.29,2.4,-2.11
1998,frei,Desigualdad,4.08,0.0,4.08
1998,frei,Economía,26.53,3.93,22.6
1998,frei,Educación,27.39,8.89,18.5
1998,frei,Medio ambiente,1.17,2.67,-1.5
1998,frei,Migración,1.46,0.0,1.46
1998,frei,Pensiones,2.62,0.0,2.62
1998,frei,Pobreza,2.34,15.24,-12.9
1998,frei,Salud,10.79,14.3,-3.52
1998,frei,Seguridad,7.59,22.04,-14.45
1998,frei,Trabajo/Empleo,6.99,20.38,-13.39
1998,frei,Vivienda,3.79,4.39,-0.59
1999,frei,Constitución,5.33,1.64,3.7
1999,frei,Corrupción,0.76,2.5,-1.74
1999,frei,Derechos humanos,0.91,2.35,-1.45
1999,frei,Desigualdad,0.3,0.0,0.3
1999,frei,Economía,23.29,2.48,20.82
1999,frei,Educación,26.01,8.59,17.42
1999,frei,Medio ambiente,2.89,1.98,0.91
1999,frei,Migración,0.91,0.0,0.91
1999,frei,Pensiones,2.59,0.0,2.59
1999,frei,Pobreza,5.33,15.94,-10.6
1999,frei,Salud,8.38,12.69,-4.32
1999,frei,Seguridad,8.07,21.47,-13.4
1999,frei,Trabajo/Empleo,10.19,26.34,-16.15
1999,frei,Vivienda,5.03,4.03,1.0
2000,lagos,Constitución,7.05,1.18,5.87
2000,lagos,Corrupción,0.83,2.19,-1.35
2000,lagos,Derechos humanos,1.23,1.9,-0.67
2000,lagos,Desigualdad,2.49,0.0,2.49
2000,lagos,Economía,31.96,3.7,28.26
2000,lagos,Educación,20.35,8.01,12.34
2000,lagos,Medio ambiente,1.23,1.58,-0.35
2000,lagos,Migración,0.83,0.0,0.83
2000,lagos,Pensiones,2.89,0.0,2.89
2000,lagos,Pobreza,3.33,14.79,-11.46
2000,lagos,Salud,4.56,12.48,-7.92
2000,lagos,Seguridad,8.71,21.33,-12.61
2000,lagos,Trabajo/Empleo,10.81,28.68,-17.87
2000,lagos,Vivienda,3.73,4.18,-0.45
2001,lagos,Constitución,3.96,1.18,2.78
2001,lagos,Corrupción,0.31,2.52,-2.22
2001,lagos,Derechos humanos,0.31,1.75,-1.44
2001,lagos,Desigualdad,0.61,0.0,0.61
2001,lagos,Economía,22.86,3.13,19.73
2001,lagos,Educación,24.69,8.21,16.49
2001,lagos,Medio ambiente,1.83,1.57,0.26
2001,lagos,Migración,0.0,0.0,0.0
2001,lagos,Pensiones,1.53,0.0,1.53
2001,lagos,Pobreza,1.83,14.52,-12.69
2001,lagos,Salud,19.82,14.35,5.47
2001,lagos,Seguridad,5.18,20.14,-14.96
2001,lagos,Trabajo/Empleo,10.97,28.51,-17.54
2001,lagos,Vivienda,6.1,4.13,1.97
2002,lagos,Constitución,2.51,1.58,0.93
2002,lagos,Corrupción,0.69,3.65,-2.97
2002,lagos,Derechos humanos,0.0,1.63,-1.63
2002,lagos,Desigualdad,1.59,0.0,1.59
2002,lagos,Economía,16.14,2.31,13.83
2002,lagos,Educación,27.05,8.96,18.09
2002,lagos,Medio ambiente,0.45,1.45,-1.0
2002,lagos,Migración,0.45,0.0,0.45
2002,lagos,Pensiones,1.14,0.0,1.14
2002,lagos,Pobreza,10.46,13.79,-3.33
2002,lagos,Salud,20.9,14.51,6.39
2002,lagos,Seguridad,6.13,20.06,-13.92
2002,lagos,Trabajo/Empleo,8.85,27.71,-18.85
2002,lagos,Vivienda,3.64,4.35,-0.71
2003,lagos,Constitución,2.29,1.17,1.11
2003,lagos,Corrupción,1.97,4.6,-2.63
2003,lagos,Derechos humanos,0.32,1.87,-1.55
2003,lagos,Desigualdad,0.32,0.0,0.32
2003,lagos,Economía,20.67,2.41,18.26
2003,lagos,Educación,25.58,9.9,15.69
2003,lagos,Medio ambiente,0.32,1.34,-1.02
2003,lagos,Migración,0.32,0.0,0.32
2003,lagos,Pensiones,2.63,0.0,2.63
2003,lagos,Pobreza,9.83,13.6,-3.77
2003,lagos,Salud,10.17,13.34,-3.17
2003,lagos,Seguridad,5.58,22.94,-17.36
2003,lagos,Trabajo/Empleo,14.43,24.99,-10.57
2003,lagos,Vivienda,5.58,3.84,1.74
2004,lagos,Constitución,2.87,1.09,1.78
2004,lagos,Corrupción,1.27,4.55,-3.27
2004,lagos,Derechos humanos,2.25,1.85,0.39
2004,lagos,Desigualdad,1.27,0.0,1.27
2004,lagos,Economía,28.13,2.12,26.01
2004,lagos,Educación,24.61,9.27,15.34
2004,lagos,Medio ambiente,0.65,1.27,-0.62
2004,lagos,Migración,0.95,0.0,0.95
2004,lagos,Pensiones,4.47,0.0,4.47
2004,lagos,Pobreza,2.54,12.47,-9.92
2004,lagos,Salud,11.18,13.87,-2.69
2004,lagos,Seguridad,8.64,23.77,-15.14
2004,lagos,Trabajo/Empleo,6.39,26.37,-19.98
2004,lagos,Vivienda,4.79,3.37,1.42
2005,lagos,Constitución,0.9,0.32,0.58
2005,lagos,Corrupción,0.6,3.79,-3.19
2005,lagos,Derechos humanos,3.3,1.77,1.54
2005,lagos,Desigualdad,4.5,0.0,4.5
2005,lagos,Economía,21.02,3.21,17.81
2005,lagos,Educación,33.95,10.61,23.34
2005,lagos,Medio ambiente,1.5,1.39,0.11
2005,lagos,Migración,0.3,0.0,0.3
2005,lagos,Pensiones,2.7,0.0,2.7
2005,lagos,Pobreza,6.91,12.15,-5.24
2005,lagos,Salud,6.91,14.15,-7.25
2005,lagos,Seguridad,4.2,23.78,-19.58
